ClientID,ClientName,ClientType,Region,Country,RelationshipManager,KYCStatus,KYCSubmissionDate,KYCLastUpdate,ExpiryDate,SourceSystem,RiskRating,ReviewFrequency,AssetsUnderManagement,DaysToExpiry
C100066,Priya Kumar,Individual,LATAM,Chile,RM_31,Valid,2023-05-11,2023-10-05,2023-12-01,Onboarding Portal,Low,Annual,6863.96,-690
C100067,Horizon Holdings 0067,Corporate,APAC,Australia,RM_40,Valid,2023-12-18,2024-05-14,2024-06-29,Manual Entry,High,Annual,30450063.5,-479
C100068,Summit Partners 0068,Corporate,EMEA,United Kingdom,RM_19,Valid,2024-04-21,2024-06-26,2025-03-24,Batch Upload,Critical,Semi-Annual,38648063.05,-211
C100069,Summit Ltd 0069,Corporate,Oceania,Australia,RM_06,Pending Review,2022-12-04,2023-01-15,2024-03-23,Batch Upload,Low,Annual,10952042.33,-577
C100070,Maria Johnson,Individual,EMEA,Germany,RM_18,Valid,2024-09-24,2024-12-25,2026-09-25,Salesforce,Low,Semi-Annual,68426.15,339
C100071,Atlas Partners 0071,Corporate,Oceania,New Zealand,RM_45,Valid,2023-06-10,2023-07-18,2023-11-30,Onboarding Portal,Medium,Semi-Annual,19959311.68,-691
C100072,Pioneer Corp 0072,Corporate,LATAM,Argentina,RM_04,Valid,2023-04-20,2023-08-24,2024-12-22,Onboarding Portal,Medium,Annual,6818126.65,-303
C100073,Pioneer Group 0073,Corporate,Oceania,New Zealand,RM_10,Missing,2024-05-12,2024-06-27,2024-12-13,Salesforce,Medium,Annual,24624769.11,-312
C100074,Acme Corp 0074,Corporate,Oceania,Australia,RM_43,Missing,2023-11-05,2023-11-29,2024-10-08,Onboarding Portal,High,Annual,43918452.88,-378
C100075,Priya Kumar,Individual,Oceania,New Zealand,RM_24,Valid,2024-04-09,2024-08-26,2025-01-27,Salesforce,Low,Annual,166527.99,-267
C100076,Carlos Patel,Individual,Africa,South Africa,RM_21,Valid,2022-09-18,2023-02-09,2023-07-05,Batch Upload,Low,Annual,92998.95,-839
C100077,Carlos Kumar,Individual,Africa,Nigeria,RM_48,Expired,2024-07-25,2024-10-24,2023-12-13,Batch Upload,Low,Annual,223417.12,-678
C100078,Maria Singh,Individual,Oceania,Australia,RM_26,Valid,2022-02-25,2022-05-13,2023-11-28,Salesforce,Medium,Quarterly,166090.9,-693
C100079,Zenith Group 0079,Corporate,APAC,Japan,RM_29,Valid,2023-01-13,2023-07-05,2024-07-12,Batch Upload,Medium,Semi-Annual,3433302.06,-466
C100080,Acme LLC 0080,Corporate,LATAM,Brazil,RM_21,Expired,2023-06-05,2023-07-25,2022-07-31,Manual Entry,High,Quarterly,12024849.03,-1178
C100081,Riverside Ltd 0081,Corporate,LATAM,Argentina,RM_23,Expired,2022-09-19,2022-11-22,2022-04-04,Batch Upload,High,Annual,15453725.18,-1296
C100082,Horizon LLC 0082,Corporate,LATAM,Argentina,RM_49,Valid,2024-08-02,2024-12-09,2025-07-02,Batch Upload,Medium,Semi-Annual,10847104.15,-111
C100083,Pioneer Holdings 0083,Corporate,North America,Canada,RM_01,Valid,2023-03-20,2023-07-30,2024-04-18,Onboarding Portal,Medium,Semi-Annual,18237541.85,-551
C100084,Maria Patel,Individual,EMEA,Germany,RM_02,Valid,2023-08-10,2024-02-05,2025-08-22,Onboarding Portal,Low,Annual,1119.34,-60
C100085,Alice Singh,Individual,North America,Mexico,RM_47,Valid,2024-03-11,2024-03-25,2025-06-26,Salesforce,Low,Annual,186898.88,-117
C100086,Pioneer Group 0086,Corporate,Africa,Nigeria,RM_43,Valid,2023-08-12,2024-01-18,2024-11-06,Manual Entry,Medium,Semi-Annual,10778271.83,-349
C100087,Riverside Investments 0087,Corporate,EMEA,UAE,RM_35,Valid,2022-08-12,2023-01-28,2023-10-14,Onboarding Portal,Medium,Quarterly,3805025.49,-738
C100088,Acme Investments 0088,Corporate,Africa,Egypt,RM_35,Valid,2024-06-03,2024-06-28,2025-08-14,Onboarding Portal,Medium,Annual,31023501.75,-68
C100089,Acme Corp 0089,Corporate,Oceania,New Zealand,RM_03,Valid,2022-02-04,2022-05-19,2024-03-01,Onboarding Portal,High,Annual,2323426.77,-599
C100090,Horizon Investments 0090,Corporate,APAC,Singapore,RM_36,Valid,2022-04-02,2022-08-11,2024-03-30,Onboarding Portal,High,Annual,42475971.58,-570
C100091,Alice Garcia,Individual,EMEA,UAE,RM_23,Pending Review,2022-09-08,2022-09-23,2023-08-25,Salesforce,Low,Annual,189426.84,-788
C100092,Pioneer LLC 0092,Corporate,LATAM,Brazil,RM_21,Valid,2023-08-17,2023-10-07,2025-08-09,Manual Entry,Critical,Semi-Annual,27639518.81,-73
C100093,Horizon Holdings 0093,Corporate,North America,United States,RM_31,Valid,2024-02-27,2024-03-31,2025-12-18,Salesforce,Medium,Annual,11887090.52,58
C100094,Atlas Partners 0094,Corporate,APAC,Japan,RM_28,Valid,2024-05-27,2024-10-01,2025-12-27,Onboarding Portal,Medium,Quarterly,6874749.36,67
C100095,Horizon Ltd 0095,Corporate,Oceania,Australia,RM_03,Valid,2023-09-10,2023-12-27,2025-05-27,Salesforce,High,Annual,10188764.6,-147
C100096,Horizon Enterprises 0096,Corporate,EMEA,United Kingdom,RM_28,Valid,2023-09-19,2024-02-12,2024-07-31,Onboarding Portal,Medium,Annual,17945102.77,-447
C100097,Carlos Smith,Individual,Oceania,New Zealand,RM_28,Valid,2022-12-04,2023-05-15,2024-01-14,Batch Upload,Low,Annual,160910.96,-646
C100098,Horizon Partners 0098,Corporate,Oceania,New Zealand,RM_50,Pending Review,2022-09-01,2022-11-10,2023-06-29,Manual Entry,Critical,Annual,42162485.12,-845
C100099,Atlas Corp 0099,Corporate,LATAM,Colombia,RM_04,Valid,2024-01-02,2024-02-09,2025-03-14,Manual Entry,Medium,Annual,31600835.02,-221
C100100,Mohammed Johnson,Individual,Africa,Egypt,RM_41,Valid,2023-08-14,2024-01-24,2024-05-20,Onboarding Portal,Low,Semi-Annual,90692.47,-519
C100101,Atlas Enterprises 0101,Corporate,EMEA,Netherlands,RM_04,Valid,2024-07-29,2025-01-30,2026-04-19,Onboarding Portal,Medium,Semi-Annual,29045712.78,180
C100102,Atlas Group 0102,Corporate,North America,United States,RM_50,Valid,2023-11-19,2024-02-11,2024-04-27,Manual Entry,Medium,Annual,44673548.07,-542
C100103,Greenfield Corp 0103,Corporate,Africa,Nigeria,RM_36,Valid,2022-03-10,2022-08-04,2022-10-09,Onboarding Portal,Medium,Annual,10019348.31,-1108
C100104,Atlas Partners 0104,Corporate,Oceania,Australia,RM_19,Missing,2024-03-01,2024-05-26,2025-02-24,Manual Entry,Medium,Annual,10871327.16,-239
C100105,Horizon Enterprises 0105,Corporate,EMEA,France,RM_33,Pending Review,2022-03-10,2022-08-02,2024-06-25,Batch Upload,Critical,Annual,30823765.47,-483
C100106,Acme Ltd 0106,Corporate,EMEA,France,RM_39,Valid,2022-07-06,2022-11-16,2023-03-16,Onboarding Portal,Critical,Semi-Annual,26271798.71,-950
C100107,Acme LLC 0107,Corporate,APAC,Singapore,RM_44,Valid,2024-03-03,2024-06-30,2025-10-14,Salesforce,Medium,Annual,18358296.64,-7
C100108,Atlas Group 0108,Corporate,Africa,Egypt,RM_16,Valid,2023-07-10,2024-01-01,2024-03-01,Salesforce,Medium,Annual,6432117.43,-599
C100109,John Smith,Individual,LATAM,Chile,RM_48,Valid,2022-05-24,2022-06-16,2022-09-05,Salesforce,Low,Annual,178914.58,-1142
C100110,Acme LLC 0110,Corporate,LATAM,Brazil,RM_03,Valid,2022-11-14,2023-05-29,2025-02-18,Manual Entry,Low,Annual,672380.86,-245
C100111,Alice Patel,Individual,Oceania,New Zealand,RM_05,Valid,2022-08-22,2022-09-19,2023-09-12,Onboarding Portal,Low,Semi-Annual,54595.42,-770
C100112,Lee Wang,Individual,North America,United States,RM_46,Valid,2023-11-11,2024-01-24,2025-07-22,Salesforce,Low,Annual,190530.39,-91
C100113,Carlos Singh,Individual,EMEA,UAE,RM_36,Valid,2024-03-18,2024-04-21,2024-10-05,Onboarding Portal,Low,Semi-Annual,43808.62,-381
C100114,Zenith Holdings 0114,Corporate,EMEA,France,RM_21,Valid,2022-03-27,2022-05-28,2023-01-18,Onboarding Portal,Low,Annual,991830.04,-1007
C100115,Priya Smith,Individual,APAC,China,RM_49,Valid,2023-03-09,2023-03-27,2024-11-13,Salesforce,Low,Annual,178160.1,-342
C100116,Carlos Patel,Individual,North America,Canada,RM_15,Valid,2022-09-10,2023-01-31,2023-06-24,Manual Entry,Critical,Annual,243202.49,-850
C100117,Riverside Enterprises 0117,Corporate,EMEA,UAE,RM_29,Valid,2024-03-10,2024-05-30,2025-06-27,Batch Upload,Medium,Annual,25892692.89,-116
C100118,Greenfield Corp 0118,Corporate,LATAM,Brazil,RM_18,Valid,2023-02-04,2023-03-11,2023-07-12,Onboarding Portal,Medium,Semi-Annual,46881928.2,-832
C100119,Maria Kumar,Individual,LATAM,Colombia,RM_05,Valid,2022-04-24,2022-05-21,2022-06-28,Salesforce,Low,Annual,78415.31,-1211
C100120,Riverside Holdings 0120,Corporate,APAC,China,RM_46,Missing,2024-06-08,2024-09-08,2026-01-27,Onboarding Portal,Low,Semi-Annual,4675774.25,98
C100121,Summit Corp 0121,Corporate,LATAM,Chile,RM_12,Valid,2023-08-05,2023-11-23,2024-11-02,Onboarding Portal,Medium,Annual,11189196.98,-353
C100122,Greenfield LLC 0122,Corporate,North America,Canada,RM_25,Missing,2022-12-17,2022-12-28,2023-04-25,Onboarding Portal,High,Annual,24388927.79,-910
C100123,Pioneer Group 0123,Corporate,LATAM,Brazil,RM_33,Valid,2023-12-17,2024-01-09,2024-05-10,Salesforce,Medium,Semi-Annual,3062408.29,-529
C100124,Acme Group 0124,Corporate,EMEA,UAE,RM_41,Valid,2023-04-04,2023-10-18,2024-08-10,Manual Entry,Medium,Semi-Annual,47442391.71,-437
C100125,Carlos Kumar,Individual,APAC,India,RM_23,Valid,2024-06-16,2024-11-14,2026-02-28,Batch Upload,Low,Annual,173477.9,130
C100126,Carlos Kumar,Individual,Oceania,New Zealand,RM_17,Valid,2023-07-10,2024-01-17,2024-03-02,Salesforce,Low,Quarterly,207694.5,-598
C100127,Atlas Partners 0127,Corporate,APAC,China,RM_36,Valid,2024-09-24,2025-01-13,2025-10-09,Onboarding Portal,Medium,Annual,24006477.29,-12
C100128,Alice Johnson,Individual,EMEA,France,RM_11,Valid,2023-12-09,2024-04-12,2025-10-02,Onboarding Portal,Medium,Quarterly,153773.42,-19
C100129,Summit Ltd 0129,Corporate,APAC,China,RM_48,Expired,2022-04-03,2022-05-23,2021-02-24,Manual Entry,High,Semi-Annual,43995276.41,-1700
C100130,Riverside Group 0130,Corporate,Africa,Nigeria,RM_05,Valid,2023-12-17,2024-02-24,2024-12-28,Onboarding Portal,Medium,Semi-Annual,10737418.39,-297
C100131,Zenith Enterprises 0131,Corporate,Africa,Kenya,RM_20,Valid,2023-04-21,2023-10-24,2024-11-07,Onboarding Portal,Medium,Annual,33355499.15,-348
C100132,Lee Garcia,Individual,EMEA,UAE,RM_50,Valid,2024-05-04,2024-09-26,2024-10-26,Manual Entry,Low,Annual,49430.67,-360
C100133,John Johnson,Individual,North America,Mexico,RM_30,Valid,2023-06-15,2023-11-21,2024-09-25,Onboarding Portal,Low,Annual,16569.73,-391
C100134,Summit Ltd 0134,Corporate,EMEA,UAE,RM_22,Valid,2023-07-20,2023-11-23,2025-07-18,Manual Entry,High,Annual,15294727.5,-95
C100135,Atlas Holdings 0135,Corporate,Africa,Nigeria,RM_30,Valid,2023-12-30,2024-03-28,2025-03-30,Manual Entry,Critical,Annual,25622456.33,-205
C100136,Horizon Investments 0136,Corporate,North America,United States,RM_25,Valid,2022-07-24,2023-01-31,2024-10-31,Salesforce,High,Annual,26674474.76,-355
C100137,Priya Wang,Individual,EMEA,Netherlands,RM_06,Valid,2023-05-29,2023-06-10,2025-02-11,Batch Upload,Medium,Quarterly,155199.38,-252
C100138,Carlos Johnson,Individual,North America,Canada,RM_26,Pending Review,2023-12-25,2024-01-29,2025-02-18,Salesforce,Low,Semi-Annual,189375.08,-245
C100139,Riverside Ltd 0139,Corporate,LATAM,Argentina,RM_10,Expired,2023-07-04,2024-01-06,2023-04-18,Manual Entry,High,Annual,8315144.2,-917
C100140,Maria Johnson,Individual,APAC,China,RM_26,Valid,2024-05-31,2024-07-25,2026-02-27,Batch Upload,Low,Annual,161473.45,129
C100141,Summit Ltd 0141,Corporate,APAC,Singapore,RM_07,Valid,2023-12-27,2024-01-16,2024-04-17,Batch Upload,Critical,Semi-Annual,38604244.51,-552
C100142,Priya Smith,Individual,APAC,Australia,RM_35,Valid,2023-10-24,2023-12-14,2025-03-21,Manual Entry,Low,Annual,175349.94,-214
C100143,Mohammed Kumar,Individual,North America,United States,RM_46,Valid,2022-06-18,2022-09-25,2023-10-19,Onboarding Portal,Low,Annual,81700.89,-733
C100144,Greenfield Partners 0144,Corporate,EMEA,France,RM_37,Valid,2022-03-02,2022-03-06,2023-05-15,Batch Upload,Critical,Annual,20642497.13,-890
C100145,Priya Smith,Individual,EMEA,UAE,RM_05,Valid,2022-06-02,2022-09-29,2023-06-13,Manual Entry,Low,Quarterly,48992.87,-861
C100146,Atlas Partners 0146,Corporate,EMEA,France,RM_44,Valid,2024-07-03,2024-12-08,2026-09-07,Salesforce,High,Semi-Annual,13801538.14,321
C100147,Chen Smith,Individual,APAC,Australia,RM_17,Valid,2023-06-10,2023-11-03,2024-09-02,Batch Upload,Low,Annual,8551.71,-414
C100148,Acme LLC 0148,Corporate,Africa,Nigeria,RM_07,Valid,2022-04-04,2022-06-08,2023-06-19,Manual Entry,Medium,Annual,12260177.55,-855
C100149,Alice Garcia,Individual,APAC,Australia,RM_32,Missing,2024-05-30,2024-06-02,2024-07-08,Onboarding Portal,Low,Quarterly,26932.48,-470
C100150,Riverside LLC 0150,Corporate,Africa,Egypt,RM_47,Valid,2022-03-25,2022-04-09,2022-10-31,Batch Upload,Low,Quarterly,12670649.26,-1086
C100151,Summit Enterprises 0151,Corporate,EMEA,UAE,RM_47,Valid,2023-03-08,2023-08-11,2023-10-26,Manual Entry,Medium,Annual,43751479.48,-726
C100152,Lee Garcia,Individual,North America,Canada,RM_47,Missing,2022-07-24,2022-08-08,2023-11-10,Manual Entry,Low,Semi-Annual,92635.77,-711
C100153,Greenfield Investments 0153,Corporate,LATAM,Colombia,RM_46,Valid,2024-08-12,2024-11-26,2025-01-25,Batch Upload,High,Quarterly,21790565.01,-269
C100154,Greenfield Group 0154,Corporate,North America,United States,RM_34,Valid,2022-07-26,2022-11-17,2023-09-13,Salesforce,High,Semi-Annual,5714798.87,-769
C100155,Zenith Enterprises 0155,Corporate,LATAM,Colombia,RM_09,Pending Review,2023-07-21,2023-09-03,2024-04-22,Batch Upload,Medium,Annual,40264766.56,-547
C100156,Zenith Holdings 0156,Corporate,North America,United States,RM_11,Valid,2022-07-19,2022-09-24,2024-05-12,Batch Upload,Critical,Semi-Annual,21620133.66,-527
C100157,Summit Ltd 0157,Corporate,EMEA,France,RM_24,Valid,2022-08-29,2022-09-05,2023-01-26,Salesforce,Critical,Annual,42645706.99,-999
C100158,John Johnson,Individual,EMEA,France,RM_01,Valid,2024-03-15,2024-08-13,2025-08-09,Onboarding Portal,Low,Semi-Annual,117206.43,-73
C100159,Summit Holdings 0159,Corporate,Oceania,New Zealand,RM_20,Valid,2022-12-18,2023-06-16,2024-07-23,Onboarding Portal,Critical,Quarterly,49498884.45,-455
C100160,Chen Kumar,Individual,Africa,Egypt,RM_29,Valid,2023-02-20,2023-05-28,2024-05-30,Batch Upload,Low,Annual,133408.54,-509
C100161,Maria Smith,Individual,North America,United States,RM_40,Valid,2023-08-08,2023-10-20,2025-02-10,Manual Entry,Low,Semi-Annual,196032.95,-253
C100162,John Wang,Individual,LATAM,Colombia,RM_50,Expired,2022-02-24,2022-04-27,2020-07-11,Salesforce,Low,Annual,219913.73,-1928
C100163,Maria Singh,Individual,LATAM,Argentina,RM_37,Valid,2024-03-13,2024-04-26,2025-01-22,Batch Upload,Low,Quarterly,30979.31,-272
C100164,Priya Wang,Individual,Africa,Egypt,RM_31,Missing,2024-03-21,2024-06-20,2024-11-30,Manual Entry,Low,Semi-Annual,245165.35,-325
C100165,Mohammed Garcia,Individual,APAC,Japan,RM_28,Valid,2023-11-16,2024-03-07,2025-05-30,Onboarding Portal,Low,Annual,83339.54,-144
C100166,Zenith LLC 0166,Corporate,North America,Canada,RM_25,Missing,2024-07-17,2024-10-06,2025-04-16,Salesforce,High,Semi-Annual,39258646.03,-188
C100167,Atlas Investments 0167,Corporate,EMEA,Germany,RM_02,Missing,2022-01-19,2022-05-20,2023-11-17,Manual Entry,High,Annual,26018598.13,-704
